City,Latitude,Longitude,Temperature (F),Humidity,Cloud Cover,Wind Speed,Time Stamp
Busselton,-33.64,115.35,46.98,65,67,18.48,2019_07_14 14.51
Punta Arenas,-53.16,-70.91,39.09,93,75,5.82,2019_07_14 14.51
Riyadh,24.63,46.72,91.4,9,0,6.93,2019_07_14 14.51
Mataura,-46.19,168.86,38.68,90,90,4.81,2019_07_14 14.51
Ponta do Sol,-20.63,-46,67.48,54,42,1.19,2019_07_14 14.51
Timra,62.49,17.33,59,82,0,3.36,2019_07_14 14.51
Cape Town,-33.93,18.42,50.83,87,0,8.05,2019_07_14 14.51
Qaanaaq,77.48,-69.36,44.26,64,70,11.32,2019_07_14 14.51
Cabo San Lucas,22.89,-109.91,89.94,52,20,11.41,2019_07_14 14.51
Charters Towers,-20.07,146.27,46.24,57,99,12.93,2019_07_14 14.51
Udachnyy,66.42,112.4,59,72,75,4.47,2019_07_14 14.51
Airai,-8.93,125.41,65.86,80,48,5.75,2019_07_14 14.51
Yellowknife,62.45,-114.38,69.8,35,20,11.41,2019_07_14 14.51
Kouango,4.99,19.98,67.3,97,64,1.77,2019_07_14 14.51
Ushuaia,-54.81,-68.31,42.8,75,20,3.36,2019_07_14 14.51
New Norfolk,-42.78,147.06,45.03,61,40,14.99,2019_07_14 14.51
Jamestown,-33.21,138.6,45.52,91,74,6.73,2019_07_14 14.51
Kolpashevo,58.31,82.9,55.96,66,0,5.59,2019_07_14 14.51
Khani,41.96,42.96,68,94,75,2.24,2019_07_14 14.51
Torbay,47.66,-52.73,51.89,93,90,13.87,2019_07_14 14.51
Victoria,5.28,115.24,75.96,88,75,11.63,2019_07_14 14.51
Constitucion,23.99,-104.67,78.01,34,75,14.99,2019_07_14 14.51
Romanovo,56.49,40.39,50.92,80,0,3.27,2019_07_14 14.51
Burnie,-41.05,145.91,45.34,78,43,7,2019_07_14 14.51
Hilo,19.71,-155.08,78.73,65,90,4.7,2019_07_14 14.51
Arraial do Cabo,-22.97,-42.02,75.2,83,0,4.7,2019_07_14 14.51
Tuatapere,-46.13,167.69,46.78,68,100,15.03,2019_07_14 14.51
Isangel,-19.55,169.27,69.8,94,75,3.83,2019_07_14 14.51
Leningradskiy,69.38,178.42,36.7,95,100,6.91,2019_07_14 14.51
Muscat,23.6,58.55,89.6,75,30,4.7,2019_07_14 14.51
Ribeira Grande,38.52,-28.7,73.4,64,20,6.93,2019_07_14 14.51
Fortuna,38.18,-1.13,78.33,83,0,8.05,2019_07_14 14.51
Havre-Saint-Pierre,50.23,-63.6,57.2,93,90,14.99,2019_07_14 14.51
Kavieng,-2.57,150.8,80.26,80,100,7.34,2019_07_14 14.51
Trapani,38.02,12.54,79.29,88,0,2.24,2019_07_14 14.51
Saint-Philippe,45.36,-73.48,75.72,50,40,16.11,2019_07_14 14.51
Albany,42.65,-73.75,80.85,45,20,17.22,2019_07_14 14.51
Vaini,15.34,74.49,76.84,89,90,1.34,2019_07_14 14.51
Lagoa,37.14,-8.45,71.91,64,0,13.87,2019_07_14 14.51
Hermanus,-34.42,19.24,53.01,85,16,1.01,2019_07_14 14.51
Codrington,-28.95,153.24,48.27,46,0,12.75,2019_07_14 14.51
Miramar,10.09,-84.73,76.57,57,90,8.05,2019_07_14 14.51
Chumikan,54.72,135.31,52.36,93,100,2.33,2019_07_14 14.51
Groningen,53.22,6.57,57.9,82,90,6.93,2019_07_14 14.51
Bud,62.91,6.91,50,71,75,8.05,2019_07_14 14.51
Bambous Virieux,-20.34,57.76,64.72,77,40,3.36,2019_07_14 14.51
Sola,-3.17,33.8,70.36,48,66,11.7,2019_07_14 14.51
Markova,52.21,104.21,57.67,93,40,8.95,2019_07_14 14.51
Faanui,-16.48,-151.75,79.18,75,61,9.57,2019_07_14 14.51
Guerrero Negro,27.97,-114.04,69.1,84,0,11.1,2019_07_14 14.51
Rikitea,-23.12,-134.97,74.68,84,66,14.76,2019_07_14 14.51
Bonfim,3.36,-59.84,89.44,49,0,6.87,2019_07_14 14.51
Bethel,60.79,-161.76,63.93,68,75,5.86,2019_07_14 14.51
Hobart,-42.88,147.33,45.03,61,40,14.99,2019_07_14 14.51
Krutikha,53.96,81.21,58.66,84,0,7.09,2019_07_14 14.51
Sangueya,10.7,-14.37,76.66,86,100,6.44,2019_07_14 14.51
Nador,35.17,-2.93,81.37,39,0,12.75,2019_07_14 14.51
Birao,10.3,22.78,75.4,86,95,8.3,2019_07_14 14.51
Cabedelo,-6.97,-34.84,77,83,20,9.17,2019_07_14 14.51
Lebu,8.96,38.73,56.68,86,95,1.23,2019_07_14 14.51
Phanat Nikhom,13.45,101.18,83.03,65,20,5.82,2019_07_14 14.51
Thompson,55.74,-97.86,66.2,63,75,3.36,2019_07_14 14.51
Bredasdorp,-34.53,20.04,48.2,87,28,5.82,2019_07_14 14.51
Huesca,42.14,-0.41,72.32,64,0,8.05,2019_07_14 14.51
Brindisi,40.63,17.94,72.37,57,0,9.17,2019_07_14 14.51
Cherskiy,68.75,161.3,40.12,92,100,20.22,2019_07_14 14.51
Lugovoy,59.72,65.88,69.46,78,6,9.19,2019_07_14 14.51
Sitka,37.17,-99.65,90,42,0,8.99,2019_07_14 14.51
Kalmunai,7.42,81.82,77.74,84,96,2.3,2019_07_14 14.51
Vestmanna,62.16,-7.17,51.8,100,100,5.82,2019_07_14 14.51
Port Alfred,-33.59,26.89,60.01,91,0,1.01,2019_07_14 14.51
Gigmoto,13.78,124.39,80.62,77,100,15.12,2019_07_14 14.51
Dikson,73.51,80.55,41.74,81,100,12.19,2019_07_14 14.51
Vanimo,-2.67,141.3,80.44,79,32,4.94,2019_07_14 14.51
Klaksvik,62.23,-6.59,51.8,100,100,5.82,2019_07_14 14.51
Chuy,-33.69,-53.46,48.58,84,0,8.23,2019_07_14 14.51
Byron Bay,-28.65,153.62,44.46,71,0,16.11,2019_07_14 14.51
Husavik,50.56,-96.99,85.48,43,99,7,2019_07_14 14.51
Sobolevo,54.43,31.9,52.54,87,97,2.84,2019_07_14 14.51
Puerto Ayora,-0.74,-90.35,78.8,65,20,21.92,2019_07_14 14.51
Castro,-42.48,-73.76,48.2,81,20,10.29,2019_07_14 14.51
Miri,10.31,9.75,72.16,93,100,4.81,2019_07_14 14.51
Novo Oriente,-5.54,-40.77,73.96,67,29,4.14,2019_07_14 14.51
Sarkand,45.41,79.91,69.28,39,0,7.29,2019_07_14 14.51
Qaqortoq,60.72,-46.03,62.6,36,0,10.29,2019_07_14 14.51
Port Elizabeth,39.31,-74.98,89.42,58,1,11.41,2019_07_14 14.51
Kapaa,22.08,-159.32,79.07,78,75,19.46,2019_07_14 14.51
Srednekolymsk,67.46,153.71,50.38,66,100,16.87,2019_07_14 14.51
Vysokogornyy,50.1,139.13,55.24,91,100,3.8,2019_07_14 14.51
Shingu,33.72,135.99,68.38,98,79,2.75,2019_07_14 14.51
Clyde River,70.47,-68.59,41,93,90,16.11,2019_07_14 14.51
Mar del Plata,-46.43,-67.52,43,67,41,6.93,2019_07_14 14.51
Barrow,-38.31,-60.23,50.56,63,100,7.05,2019_07_14 14.51
Pisco,-13.71,-76.2,67.08,30,90,9.17,2019_07_14 14.51
Samarai,-10.62,150.67,73.78,95,100,8.7,2019_07_14 14.51
Georgetown,6.8,-58.16,83.1,70,40,9.17,2019_07_14 14.51
Goderich,43.74,-81.71,70.52,81,0,3.18,2019_07_14 14.51
Talnakh,69.49,88.39,51.8,100,100,8.95,2019_07_14 14.51
Bolshaya Dzhalga,45.97,42.7,68.74,50,100,5.17,2019_07_14 14.51
Provideniya,64.42,-173.23,53.6,71,90,8.95,2019_07_14 14.51
Hofn,64.25,-15.21,44.44,97,100,2.8,2019_07_14 14.51
Butaritari,3.07,172.79,85.12,68,100,8.93,2019_07_14 14.51
Cayenne,4.94,-52.33,82.4,78,20,2.24,2019_07_14 14.51
Buta,2.79,24.73,71.8,79,98,0.89,2019_07_14 14.51
Bluff,-23.58,149.07,43,59,87,5.68,2019_07_14 14.51
Port Hardy,50.7,-127.42,62.6,88,40,4.7,2019_07_14 14.51
Sinnamary,5.38,-52.96,81.7,75,0,11.5,2019_07_14 14.51
Kupang,-10.16,123.6,75.04,76,30,20.2,2019_07_14 14.51
Coihaique,-45.58,-72.07,43.59,65,20,6.93,2019_07_14 14.51
Nikolskoye,59.7,30.79,52.81,76,0,4.47,2019_07_14 14.51
Bend,44.06,-121.32,79.3,21,1,8.05,2019_07_14 14.51
Harper,30.3,-99.24,93.25,41,40,6.93,2019_07_14 14.51
Billings,45.79,-108.5,89.19,29,20,4.7,2019_07_14 14.51
Rio Grande,-32.03,-52.1,55.4,66,20,8.05,2019_07_14 14.51
Caravelas,-17.73,-39.27,72.52,76,0,8.37,2019_07_14 14.51
Mahebourg,-20.41,57.7,64.72,77,40,3.36,2019_07_14 14.51
Xai-Xai,-25.04,33.64,61.72,93,0,5.23,2019_07_14 14.51
Chipinge,-20.19,32.62,56.32,79,0,5.86,2019_07_14 14.51
Laguna,16.17,-88.94,91.4,66,40,4.7,2019_07_14 14.51
Chapais,49.78,-74.86,62.6,67,90,9.17,2019_07_14 14.51
Petropavlovka,50.61,105.32,54.16,90,100,3.13,2019_07_14 14.51
Vardo,39.62,-77.74,89.89,46,1,5.82,2019_07_14 14.51
Ritto,35.04,135.98,71.53,94,75,1.12,2019_07_14 14.51
Gambissara,13.24,-14.31,84.94,67,96,7.7,2019_07_14 14.51
Bangkalan,-7.05,112.74,67.3,91,94,3.53,2019_07_14 14.51
Alofi,-19.06,-169.92,77,94,75,10.29,2019_07_14 14.51
Kandrian,-6.21,149.55,73.78,95,100,2.42,2019_07_14 14.51
Dvorichna,49.85,37.68,58.48,78,8,4.09,2019_07_14 14.51
Veraval,49.65,0.71,59.9,67,0,12.75,2019_07_14 14.51
Kashin,57.36,37.61,50.74,86,99,3.31,2019_07_14 14.51
Tuktoyaktuk,69.44,-133.03,62.6,67,75,9.17,2019_07_14 14.51
Neuquen,-38.95,-68.06,57.2,26,0,20.8,2019_07_14 14.51
Tasiilaq,65.61,-37.64,48.2,61,75,6.93,2019_07_14 14.51
Machico,32.7,-16.77,68.41,78,40,11.41,2019_07_14 14.51
Olinda,-37.84,145.39,47.25,93,75,12.75,2019_07_14 14.51
Lata,30.78,78.62,42.82,92,99,1.23,2019_07_14 14.51
Faya,18.39,42.45,75.25,53,20,3.36,2019_07_14 14.51
Atuona,-9.8,-139.03,80.8,75,16,18.21,2019_07_14 14.51
Saldanha,41.42,-6.55,76.48,51,0,6.49,2019_07_14 14.51
Mount Gambier,-37.83,140.78,50,87,90,13.87,2019_07_14 14.51
Macheng,31.18,115.03,71.08,94,0,0.45,2019_07_14 14.51
East London,-33.02,27.91,54.16,83,0,5.23,2019_07_14 14.51
Slobidka,48.42,26.77,59.34,93,75,4.47,2019_07_14 14.51
Kununurra,-15.77,128.74,64.4,25,0,11.41,2019_07_14 14.51
Oskaloosa,39.22,-95.31,90.39,59,20,5.82,2019_07_14 14.51
Tiksi,71.64,128.87,42.28,68,96,2.33,2019_07_14 14.51
Chandur Bazar,21.24,77.75,71.26,87,100,7.09,2019_07_14 14.51
Martapura,-3.41,114.85,71.44,89,53,6.29,2019_07_14 14.51
Avarua,-21.21,-159.78,73.4,69,19,8.05,2019_07_14 14.51
Mehamn,71.03,27.85,46.4,75,75,6.93,2019_07_14 14.51
Kodiak,39.95,-94.76,90.43,62,1,14.99,2019_07_14 14.51
Kungurtug,50.6,97.53,47.5,93,85,1.79,2019_07_14 14.51
Khatanga,71.98,102.47,48.94,59,87,10.76,2019_07_14 14.51
Aksarka,66.56,67.8,61.18,87,41,5.37,2019_07_14 14.51
Aasiaat,68.71,-52.87,44.26,68,0,5.3,2019_07_14 14.51
Saskylakh,71.97,114.09,45.88,64,4,10.45,2019_07_14 14.51
Yulara,-25.24,130.99,41,65,0,5.82,2019_07_14 14.51
Katsuura,33.93,134.5,69.96,94,75,5.82,2019_07_14 14.51
Zhangjiakou,40.77,114.88,59.74,72,0,3.02,2019_07_14 14.51
College,64.86,-147.8,72.09,56,1,6.93,2019_07_14 14.51
Kudahuvadhoo,2.67,72.89,83.14,67,47,2.51,2019_07_14 14.51
Waconia,44.85,-93.79,89.96,59,40,8.05,2019_07_14 14.51
Luderitz,-26.65,15.16,50,100,0,14.09,2019_07_14 14.51
Kanker,20.27,81.49,74.68,91,79,5.26,2019_07_14 14.51
Verkhnyaya Inta,65.99,60.32,57.94,94,100,14.43,2019_07_14 14.51
Samrala,30.84,76.19,73.4,100,40,5.82,2019_07_14 14.51
Necochea,-38.55,-58.74,51.01,75,100,1.01,2019_07_14 14.51
Ben Tre,10.24,106.37,76.84,91,87,5.88,2019_07_14 14.51
Micheweni,-4.97,39.83,78.28,76,43,21.32,2019_07_14 14.51
Angoche,-16.23,39.91,67.12,93,6,3.49,2019_07_14 14.51
Ust-Kuyga,70,135.55,46.78,62,0,0.67,2019_07_14 14.51
Ostrozska Nova Ves,49,17.44,59.41,63,0,3.36,2019_07_14 14.51
Melfort,52.87,-104.61,75.2,64,1,3.36,2019_07_14 14.51
Hami,42.84,93.51,81.34,17,40,10.29,2019_07_14 14.51
Rawatbhata,24.93,75.59,81.34,67,33,14.23,2019_07_14 14.51
Pingliang,35.54,106.68,60.82,75,100,1.63,2019_07_14 14.51
Karratha,-20.74,116.85,63.16,26,0,16.84,2019_07_14 14.51
Namibe,-15.19,12.15,66.22,85,87,10.98,2019_07_14 14.51
Kruisfontein,-34,24.73,50.02,89,19,5.23,2019_07_14 14.51
Kamareddi,18.32,78.34,75.22,87,79,6.96,2019_07_14 14.51
Dingle,11,122.67,73.6,89,93,2.15,2019_07_14 14.51
Chokurdakh,70.62,147.9,44.98,86,93,9.93,2019_07_14 14.51
Kutum,14.2,24.66,76.84,58,92,14.41,2019_07_14 14.51
Alice Springs,-23.7,133.88,33.8,74,0,3.36,2019_07_14 14.51
Surab,28.49,66.26,72.7,51,0,6.2,2019_07_14 14.51
San Patricio,-26.98,-56.83,63.16,97,100,5.46,2019_07_14 14.51
Nanortalik,60.14,-45.24,39.04,92,94,6.87,2019_07_14 14.51
Belgrade,44.82,20.46,61.68,93,0,6.93,2019_07_14 14.51
Fare,-16.7,-151.02,78.28,79,67,11.14,2019_07_14 14.51
Owasso,36.27,-95.86,85.95,65,75,9.17,2019_07_14 14.51
Vegreville,53.5,-112.05,73,58,100,5.01,2019_07_14 14.51
Conroe,30.31,-95.46,89.71,70,75,4.7,2019_07_14 14.51
Apatou,5.16,-54.34,83.32,72,60,2.37,2019_07_14 14.51
Kyren,51.68,102.13,49.12,98,100,1.95,2019_07_14 14.51
Bilibino,68.06,166.44,68.74,46,100,14.45,2019_07_14 14.51
Sambava,-14.27,50.17,63.16,76,57,3.38,2019_07_14 14.51
Longyearbyen,78.22,15.63,46.4,70,40,5.82,2019_07_14 14.51
Duobao,30.67,112.69,75.99,92,64,1.9,2019_07_14 14.51
San Luis,-33.3,-66.34,62.62,54,63,7.09,2019_07_14 14.52
Dicabisagan,17.08,122.42,72.7,93,34,2.21,2019_07_14 14.52
Grindavik,63.84,-22.43,56.46,100,90,16.11,2019_07_14 14.52
Sile,35.56,-106.37,91.62,19,20,7.87,2019_07_14 14.52
Ilulissat,69.22,-51.1,57.2,35,20,8.05,2019_07_14 14.52
Castro Alves,-12.76,-39.43,67.3,81,0,4.34,2019_07_14 14.52
La Ronge,55.1,-105.3,71.6,68,75,9.17,2019_07_14 14.52
Tevriz,57.51,72.4,65.14,88,25,4.7,2019_07_14 14.52
Christchurch,-43.53,172.64,34.74,85,72,4.72,2019_07_14 14.52
Alvand,36.19,50.06,77,53,0,2.24,2019_07_14 14.52
Pevek,69.7,170.27,34.36,97,100,13.65,2019_07_14 14.52
Berezovyy,51.67,135.7,58.66,95,100,1.39,2019_07_14 14.52
Shebunino,57.66,40.04,53.6,100,0,2.55,2019_07_14 14.52
Axim,4.87,-2.24,75.04,87,0,7.18,2019_07_14 14.52
Naze,5.43,7.07,74.5,95,100,5.59,2019_07_14 14.52
Hirado,33.32,129.49,72.34,100,75,9.17,2019_07_14 14.52
Puke,42.04,19.9,75.2,41,0,10.29,2019_07_14 14.52
Barrhead,54.12,-114.4,73.4,53,20,5.82,2019_07_14 14.52
Mesyagutovo,55.53,58.24,64.6,97,100,13.85,2019_07_14 14.52
Bubaque,11.28,-15.83,80.26,80,55,11.25,2019_07_14 14.52
Kaitangata,-46.28,169.85,37,75,76,3,2019_07_14 14.52
Ulladulla,-35.36,150.48,48.29,57,0,18.34,2019_07_14 14.52
Bingol,38.88,40.49,64.06,22,0,4.43,2019_07_14 14.52
Flin Flon,54.77,-101.88,73.4,56,75,6.93,2019_07_14 14.52
Jumla,29.28,82.18,51.82,95,98,1.97,2019_07_14 14.52
Whitehorse,60.72,-135.06,62.8,72,90,4.7,2019_07_14 14.52
Yeppoon,-23.13,150.74,42.8,60,100,3.36,2019_07_14 14.52
Yashalta,46.34,42.27,67.66,56,89,5.14,2019_07_14 14.52
Severo-Kurilsk,50.68,156.12,43.9,97,85,10.29,2019_07_14 14.52
Mokobeng,-23,27.67,54.7,40,0,5.08,2019_07_14 14.52
Pata,13.44,-14.95,85.84,63,76,9.89,2019_07_14 14.52
San Carlos,11.12,-84.78,73.99,37,14,15.01,2019_07_14 14.52
Remontnoye,46.56,43.66,69.8,56,100,4.47,2019_07_14 14.52
Gustavo Diaz Ordaz,24.01,-104.69,78.01,34,75,14.99,2019_07_14 14.52
Toora-Khem,52.47,96.11,51.46,98,100,4.34,2019_07_14 14.52
Lagos,6.46,3.39,77,88,20,3.36,2019_07_14 14.52
Guarapari,-20.67,-40.5,79.81,57,0,9.17,2019_07_14 14.52
Hakkari,61.34,23.75,53.13,71,0,1.95,2019_07_14 14.52
Northam,-31.65,116.67,53.6,58,6,10.29,2019_07_14 14.52
Taraz,42.89,71.39,80.6,28,0,8.95,2019_07_14 14.52
Nortelandia,-14.45,-56.8,86.56,32,27,3,2019_07_14 14.52
Mata,40.68,-7.46,66.78,77,0,1.01,2019_07_14 14.52
Masvingo,-20.08,30.83,53.26,66,0,5.64,2019_07_14 14.52
Osorno,-40.57,-73.14,53.6,66,40,9.17,2019_07_14 14.52
Ust-Omchug,61.13,149.63,63.16,60,42,6.38,2019_07_14 14.52
Geraldton,49.72,-86.95,77,53,90,14.99,2019_07_14 14.52
Yarada,17.65,83.27,82.78,72,43,12.59,2019_07_14 14.52
Noumea,-22.28,166.46,64.4,100,90,2.24,2019_07_14 14.52
Sampit,-2.54,112.95,68.38,99,89,1.5,2019_07_14 14.52
Flinders,-34.58,150.85,53.13,57,0,18.34,2019_07_14 14.52
Komsomolskiy,67.55,63.78,47.32,93,99,4.81,2019_07_14 14.52
Ayan,38.23,44.7,56.68,39,0,3.87,2019_07_14 14.52
Martinsicuro,42.89,13.92,69.1,73,0,1.12,2019_07_14 14.52
Tokat,40.33,36.55,59,54,75,8.05,2019_07_14 14.52
Gravdal,59.79,5.78,53.98,81,40,21.92,2019_07_14 14.52
Ylivieska,64.07,24.53,52.92,79,100,2.71,2019_07_14 14.52
Hobyo,5.35,48.53,77.74,75,15,21.77,2019_07_14 14.52
Coahuayana,18.62,-100.35,86.92,65,100,1.7,2019_07_14 14.52
Sabang,13.8,121.11,73.6,95,100,1.39,2019_07_14 14.52
Bang Saphan,11.21,99.51,79.54,83,87,11.07,2019_07_14 14.52
Barcelos,-0.97,-62.93,82.24,76,100,3.11,2019_07_14 14.52
Souillac,45.6,-0.6,70.79,40,0,9.17,2019_07_14 14.52
Quibdo,5.69,-76.66,84.2,79,90,4.7,2019_07_14 14.52
Upernavik,72.79,-56.15,45.34,78,6,5.97,2019_07_14 14.52
Portland,43.66,-70.25,82.02,48,40,11.41,2019_07_14 14.52
Zhezkazgan,47.8,67.71,78.82,31,0,11.48,2019_07_14 14.52
Megion,61.04,76.11,69.8,73,0,4.47,2019_07_14 14.52
